id,title,vote_average,vote_count,release_date,runtime,backdrop_path,overview,popularity,poster_path,tagline,genres,trailer_key
614930,Teenage Mutant Ninja Turtles: Mutant Mayhem,7.3,652,2023-07-31,100,/w2nFc2Rsm93PDkvjY4LTn17ePO0.jpg,"After years of being sheltered from the human world, the Turtle brothers set out to win the hearts of New Yorkers and be accepted as normal teenagers through heroic acts. Their new friend April O'Neil helps them take on a mysterious crime syndicate, but they soon get in over their heads when an army of mutants is unleashed upon them.",484.9,/ueO9MYIOHO7M1PiMUeX74uf8fB9.jpg,Heroes aren't born. They're mutated.,"Animation, Comedy, Action",JhXRNRmuYcc
603692,John Wick: Chapter 4,7.8,4639,2023-03-22,170,/i3OTGmLNOZIo4SRQLVfLjeWegB6.jpg,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",482.5,/vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,"No way back, one way out.","Action, Thriller, Crime",yjRHZEUamCc
298618,The Flash,6.9,2959,2023-06-13,144,/yF1eOkaYvwiORauRCPWznV9xVvi.jpg,"When his attempt to save his family inadvertently alters the future, Barry Allen becomes trapped in a reality in which General Zod has returned and there are no Super Heroes to turn to. In order to save the world that he is in and return to the future that he knows, Barry's only hope is to race for his life. But will making the ultimate sacrifice be enough to reset the universe?",480.4,/rktDFPbfHfUbArZ6OOOKsXcv0Bm.jpg,Worlds collide.,"Action, Adventure, Science Fiction",jprhe-cWKGs
872585,Oppenheimer,8.3,3766,2023-07-19,181,/fm6KqXpk3M2HVveHwCrBSSBaO0V.jpg,The story of J. Robert Oppenheimer’s role in the development of the atomic bomb during World War II.,463.4,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,The world forever changes.,"Drama, History",qiuSBWVdgLI
912908,Strays,7.5,389,2023-08-17,93,/1HzL603WOer58xtnrRYdSIL5K04.jpg,"When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with Bug, a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",419.5,/n1hqbSCtyBAxaXEl1Dj3ipXJAJG.jpg,Go fetch yourself.,"Comedy, Adventure",26Xq6_g2r6Q
502356,The Super Mario Bros. Movie,7.8,6743,2023-04-05,93,/9n2tJBplPbgR2ca05hS5CKXwP2c.jpg,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",410.4,/qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,Not all heroes wear capes. Some wear overalls.,"Animation, Family, Adventure, Fantasy, Comedy",RjNcTBXTk4I
575264,Mission: Impossible - Dead Reckoning Part One,7.7,1171,2023-07-08,164,/TFTfzrkX8L7bAKUcch6qLmjpLu.jpg,"Ethan Hunt and his IMF team embark on their most dangerous mission yet: To track down a terrifying new weapon that threatens all of humanity before it falls into the wrong hands. With control of the future and the world's fate at stake and dark forces from Ethan's past closing in, a deadly race around the globe begins. Confronted by a mysterious, all-powerful enemy, Ethan must consider that nothing can matter more than his mission—not even the lives of those he cares about most.",401.1,/NNxYkU70HPurnNCSiCjYAmacwm.jpg,We all share the same fate.,"Action, Thriller",HurjfO_TDlQ
1010581,My Fault,8.1,1738,2023-06-08,117,/lntyt4OVDbcxA1l7LtwITbrD3FI.jpg,"Noah must leave her city, boyfriend, and friends to move into William Leister's mansion, the flashy and wealthy husband of her mother Rafaela. As a proud and independent 17 year old, Noah resists living in a mansion surrounded by luxury. However, it is there where she meets Nick, her new stepbrother, and the clash of their strong personalities becomes evident from the very beginning.",361.0,/w46Vw536HwNnEzOa7J24YH9DPRS.jpg,,"Drama, Romance",xY-qRGC6Yu0
439079,The Nun,5.9,6076,2018-09-05,96,/fgsHxz21B27hOOqQBiw9L6yWcM7.jpg,A priest with a haunted past and a novice on the threshold of her final vows are sent by the Vatican to investigate the death of a young nun in Romania and confront a malevolent force in the form of a demonic nun.,357.7,/sFC1ElvoKGdHJIWRpNB3xWJ9lJA.jpg,Pray For Forgiveness,"Horror, Mystery, Thriller",WE13fuVrPjE
447277,The Little Mermaid,6.5,2148,2023-05-18,135,/7VEUOEfRzzrQfWddlIyLUKvh6Nf.jpg,"The youngest of King Triton’s daughters, and the most defiant, Ariel longs to find out more about the world beyond the sea, and while visiting the surface, falls for the dashing Prince Eric. With mermaids forbidden to interact with humans, Ariel makes a deal with the evil sea witch, Ursula, which gives her a chance to experience life on land, but ultimately places her life – and her father’s crown – in jeopardy.",353.5,/ym1dxyOk4jFcSl4Q2zmRrA5BEEN.jpg,"Watch and you'll see, some day I'll be, part of your world!","Adventure, Family, Fantasy, Romance",kpGo2_d3oYE
724209,Heart of Stone,6.9,1166,2023-08-09,124,/xVMtv55caCEvBaV83DofmuZybmI.jpg,An intelligence operative for a shadowy global peacekeeping agency races to stop a hacker from stealing its most valuable — and dangerous — weapon.,336.9,/vB8o2p4ETnrfiWEgVxHmHWP9yRl.jpg,Defy the odds,"Thriller, Action",LOHrNvFH3F8
1040148,"Ruby Gillman, Teenage Kraken",7.5,677,2023-06-28,91,/f7UI3dYpr7ZUHGo0iIr1Qvy1VPe.jpg,"Ruby Gillman, a sweet and awkward high school student, discovers she's a direct descendant of the warrior kraken queens. The kraken are sworn to protect the oceans of the world against the vain, power-hungry mermaids. Destined to inherit the throne from her commanding grandmother, Ruby must use her newfound powers to protect those she loves most.",321.8,/kgrLpJcLBbyhWIkK7fx1fM4iSvf.jpg,Discover the hero just beneath the surface.,"Animation, Family, Fantasy, Comedy",u4uyD8FFUIw
